Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Flow Packets Count,Flow Bytes Count,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Rel Std,Fwd Packet Length Median,Fwd Packet Length IQR,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Rel Std,Bwd Packet Length Median,Bwd Packet Length IQR,Flow Bytes/s,Flow Packets/s,Flow Avg Bytes/Packets,Fwd Avg Bytes/Packets,Bwd Avg Bytes/Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Rel Std,Flow IAT Median,Flow IAT IQR,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Rel Std,Fwd IAT Median,Fwd IAT IQR,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd IAT Rel Std,Bwd IAT Median,Bwd IAT IQR,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Packet Length Rel Std,Packet Length Median,Packet Length IQR,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Rel Std,Active Median,Active IQR,Active Max,Active Min,Idle Mean,Idle Std,Idle Rel Std,Idle Median,Idle IQR,Idle Max,Idle Min,Label
192.168.0.2-172.217.28.98-55422-443-6,192.168.0.2,55422,172.217.28.98,443,6,13/11/2021 12:31:40 PM,13327176,5,73,2,3,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,24.333333333333336,42.146569650842686,1.7320508075688774,0.0,73.0,5.477529523133783,0.37517325500916326,14.6,0.0,24.333333333333332,3331794.0,6621942.919782833,1.3264685E7,519.0,1.9875007037598462,30986.0,9948361.5,1.3295716E7,1.3295716E7,0.0,1.3295716E7,1.3295716E7,0.0,1.3295716E7,0.0,1.3296664E7,6648332.0,9356936.146047914,1.3264685E7,31979.0,1.4074110838700467,6648332.0,1.3232706E7,0,0,0,0,64,96,0.1500693020036653,0.22510395300549793,0.0,73.0,12.166666666666666,29.802125203862,888.1666666666666,2.4494897427831783,0.0,18.25,2,0,0,1,5,0,0,0,1.0,14.6,0.0,24.333333333333332,0,0,0,0,0,0,2,0,3,73,501,272,0,32,30512.0,0.0,0.0,30512.0,0.0,30512.0,30512.0,1.3264685E7,0.0,0.0,1.3264685E7,0.0,1.3264685E7,1.3264685E7,ManualLabel
192.168.0.2-142.250.78.98-35296-443-6,192.168.0.2,35296,142.250.78.98,443,6,13/11/2021 12:32:01 PM,12759878,6,73,3,3,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,24.333333333333336,42.146569650842686,1.7320508075688774,0.0,73.0,5.721057834565503,0.4702239316081235,12.166666666666666,0.0,24.333333333333332,2551975.6,5675325.931139709,1.2704277E7,53.0,2.2238950604150407,24221.0,6367336.5,1.272899E7,6364495.0,9000134.30690187,1.2728551E7,439.0,1.4141160150022696,6364495.0,1.2728112E7,1.2735657E7,6367828.5,8961091.405978655,1.2704277E7,31380.0,1.4072444642594655,6367828.5,1.2672897E7,0,0,0,0,96,96,0.23511196580406174,0.23511196580406174,0.0,73.0,10.428571428571429,27.591406529673588,761.2857142857142,2.6457513110645907,0.0,0.0,2,0,0,1,6,0,0,0,1.0,12.166666666666666,0.0,24.333333333333332,0,0,0,0,0,0,3,0,3,73,501,277,0,32,24221.0,0.0,0.0,24221.0,0.0,24221.0,24221.0,1.2704277E7,0.0,0.0,1.2704277E7,0.0,1.2704277E7,1.2704277E7,ManualLabel
192.168.0.2-142.250.78.130-45832-443-6,192.168.0.2,45832,142.250.78.130,443,6,13/11/2021 12:32:01 PM,12764282,6,73,3,3,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,24.333333333333336,42.146569650842686,1.7320508075688774,0.0,73.0,5.71908392497126,0.4700616924633912,12.166666666666666,0.0,24.333333333333332,2552856.4,5679372.631875267,1.2712401E7,51.0,2.224712926224627,24922.0,6369416.0,1.2737587E7,6368793.5,9006532.916164827,1.2737374E7,213.0,1.4141662649550228,6368793.5,1.2737161E7,1.273936E7,6369680.0,8969962.060548639,1.2712401E7,26959.0,1.4082280523587745,6369680.0,1.2685442E7,0,0,0,0,96,96,0.2350308462316956,0.2350308462316956,0.0,73.0,10.428571428571429,27.591406529673588,761.2857142857142,2.6457513110645907,0.0,0.0,2,0,0,1,6,0,0,0,1.0,12.166666666666666,0.0,24.333333333333332,0,0,0,0,0,0,3,0,3,73,501,310,0,32,24922.0,0.0,0.0,24922.0,0.0,24922.0,24922.0,1.2712401E7,0.0,0.0,1.2712401E7,0.0,1.2712401E7,1.2712401E7,ManualLabel
192.168.0.2-149.154.175.55-48600-80-6,192.168.0.2,48600,149.154.175.55,80,6,13/11/2021 12:32:26 PM,174672,7,570,5,2,340.0,230.0,340.0,0.0,68.0,152.0526224699857,2.23606797749979,0.0,170.0,230.0,0.0,115.0,162.63455967290594,1.4142135623730951,115.0,230.0,3263.259137125584,40.07511221031419,81.42857142857143,68.0,115.0,29112.0,44944.13040208921,90267.0,27.0,1.5438352020503303,220.5,85434.75,174672.0,43668.0,50205.91858204236,90267.0,207.0,1.1497187547412833,42099.0,88451.5,90735.0,90735.0,0.0,90735.0,90735.0,0.0,90735.0,0.0,0,0,0,0,156,72,28.62508015022442,11.450032060089768,0.0,340.0,71.25,135.16524278505497,18269.64285714286,1.8970560390884907,0.0,172.5,1,2,1,2,5,0,0,0,0.0,81.42857142857143,68.0,115.0,0,0,0,0,0,0,0,0,0,0,64240,334,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-38618-80-6,192.168.0.2,38618,149.154.175.50,80,6,13/11/2021 12:32:26 PM,174819,7,723,5,2,372.0,351.0,372.0,0.0,74.4,166.36345752598436,2.23606797749979,0.0,186.0,351.0,0.0,175.5,248.19448019647817,1.414213562373095,175.5,351.0,4135.706073138504,40.04141426275176,103.28571428571429,74.4,175.5,29136.5,44880.711642085174,90292.0,38.0,1.5403604290867186,349.5,85328.0,174819.0,43704.75,50103.23596585354,90292.0,178.0,1.146402529836083,42174.5,88386.25,91029.0,91029.0,0.0,91029.0,91029.0,0.0,91029.0,0.0,0,0,0,0,156,72,28.60101018767983,11.440404075071932,0.0,372.0,90.375,167.43607522190158,28034.839285714286,1.8526813302561724,0.0,263.25,1,2,1,2,5,0,0,0,0.0,103.28571428571429,74.4,175.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-50756-443-6,192.168.0.2,50756,149.154.175.50,443,6,13/11/2021 12:32:26 PM,190115,7,298,5,2,205.0,93.0,205.0,0.0,41.0,91.67878707749138,2.23606797749979,0.0,102.5,93.0,0.0,46.5,65.76093065034893,1.4142135623730951,46.5,93.0,1567.472319385635,36.819819582884044,42.57142857142857,41.0,46.5,31685.833333333336,44245.427734023164,97324.0,46.0,1.3963788570293716,7171.0,83034.75,190115.0,47528.75,47563.701379483355,97370.0,118.0,1.000735373421,46313.5,88954.75,92733.0,92733.0,0.0,92733.0,92733.0,0.0,92733.0,0.0,0,0,0,0,156,72,26.29987113063146,10.519948452252583,0.0,205.0,37.25,75.1888099577134,5653.357142857143,2.0184915424889502,0.0,69.75,1,2,1,2,5,0,0,0,0.0,42.57142857142857,41.0,46.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.55-192.168.0.2-80-48600-6,149.154.175.55,80,192.168.0.2,48600,6,13/11/2021 12:32:26 PM,35,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,0.0,0.0,0.0,35.0,0.0,35.0,35.0,0.0,35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,334,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-80-38618-6,149.154.175.50,80,192.168.0.2,38618,6,13/11/2021 12:32:26 PM,47,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42553.19148936171,0.0,0.0,0.0,47.0,0.0,47.0,47.0,0.0,47.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,21276.595744680853,21276.595744680853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-443-50756-6,149.154.175.50,443,192.168.0.2,50756,6,13/11/2021 12:32:27 PM,38,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,0.0,0.0,0.0,38.0,0.0,38.0,38.0,0.0,38.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,26315.78947368421,26315.78947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-43704-443-6,192.168.0.2,43704,149.154.175.55,443,6,13/11/2021 12:32:26 PM,585838,13,1296,8,5,914.0,382.0,548.0,0.0,114.25,195.91889721441953,1.714826233824241,0.0,210.0,225.0,0.0,76.4,107.34197687764093,1.404999697351321,0.0,191.0,2212.215663715908,22.19043489838488,99.6923076923077,114.25,76.4,48819.83333333333,46519.55228197227,116603.0,42.0,0.9528822428447238,58675.5,88933.75,502093.0,71727.57142857143,71454.87643927727,207612.0,182.0,0.9961981845493582,83840.0,89028.0,501154.0,125288.5,44173.65530494392,174754.0,85409.0,0.35257549818972944,120495.5,81886.5,0,0,0,0,264,168,13.655652245159926,8.534782653224953,0.0,548.0,92.57142857142858,158.9425219213703,25262.72527472527,1.7169716874222096,0.0,174.0,2,2,0,5,12,0,0,0,0.0,99.6923076923077,114.25,76.4,0,0,0,1296,5,6184,0,0,0,0,64240,357,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-50768-443-6,192.168.0.2,50768,149.154.175.50,443,6,13/11/2021 12:32:27 PM,182178,7,366,5,2,193.0,173.0,193.0,0.0,38.6,86.31222393149187,2.2360679774997894,0.0,96.5,173.0,0.0,86.5,122.32947314527271,1.414213562373095,86.5,173.0,2009.0241412245166,38.42395898516835,52.285714285714285,38.6,86.5,30363.0,45492.243752094706,94846.0,44.0,1.4982789497775155,2190.5,85808.75,182178.0,45544.5,50303.95018617657,94894.0,164.0,1.1045010964260573,43560.0,90697.0,87288.0,87288.0,0.0,87288.0,87288.0,0.0,87288.0,0.0,0,0,0,0,156,72,27.445684989405965,10.978273995762386,0.0,193.0,45.75,84.88100914978399,7204.785714285715,1.8553226043668631,0.0,129.75,1,2,1,2,5,0,0,0,0.0,52.285714285714285,38.6,86.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-48612-80-6,192.168.0.2,48612,149.154.175.55,80,6,13/11/2021 12:32:27 PM,182315,7,848,5,2,497.0,351.0,497.0,0.0,99.4,222.26515696347911,2.23606797749979,0.0,248.5,351.0,0.0,175.5,248.19448019647817,1.414213562373095,175.5,351.0,4651.290349121026,38.39508542906508,121.14285714285714,99.4,175.5,30385.833333333336,45275.63294495911,95250.0,21.0,1.490024395522884,2594.0,85116.75,182315.0,45578.75,49967.34424518344,95305.0,167.0,1.0962859719756124,43421.5,90543.25,87044.0,87044.0,0.0,87044.0,87044.0,0.0,87044.0,0.0,0,0,0,0,156,72,27.425061020760772,10.970024408304308,0.0,497.0,106.0,200.11496695649728,40046.0,1.8878770467594084,0.0,263.25,1,2,1,2,5,0,0,0,0.0,121.14285714285714,99.4,175.5,0,0,0,0,0,0,0,0,0,0,64240,341,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-38632-80-6,192.168.0.2,38632,149.154.175.50,80,6,13/11/2021 12:32:27 PM,180600,7,611,5,2,344.0,267.0,344.0,0.0,68.8,153.84147685198553,2.23606797749979,0.0,172.0,267.0,0.0,133.5,188.79751057680818,1.414213562373095,133.5,267.0,3383.1672203765224,38.75968992248062,87.28571428571429,68.8,133.5,30100.0,44786.33479533685,93518.0,36.0,1.4879180995128523,2595.0,84707.0,180600.0,45150.0,49390.72200997538,93555.0,176.0,1.0939251829451913,43434.5,89226.5,87046.0,87046.0,0.0,87046.0,87046.0,0.0,87046.0,0.0,0,0,0,0,156,72,27.68549280177187,11.074197120708748,0.0,344.0,76.375,142.90849969723385,20422.839285714286,1.8711423855611633,0.0,200.25,1,2,1,2,5,0,0,0,0.0,87.28571428571429,68.8,133.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-443-50768-6,149.154.175.50,443,192.168.0.2,50768,6,13/11/2021 12:32:27 PM,40,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999.99999999999,0.0,0.0,0.0,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,24999.999999999996,24999.999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-80-38632-6,149.154.175.50,80,192.168.0.2,38632,6,13/11/2021 12:32:27 PM,54,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,0.0,0.0,0.0,54.0,0.0,54.0,54.0,0.0,54.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.55-192.168.0.2-80-48612-6,149.154.175.55,80,192.168.0.2,48612,6,13/11/2021 12:32:27 PM,69,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28985.507246376812,0.0,0.0,0.0,69.0,0.0,69.0,69.0,0.0,69.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,14492.753623188406,14492.753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,341,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-43732-443-6,192.168.0.2,43732,149.154.175.55,443,6,13/11/2021 12:32:28 PM,179960,7,274,5,2,121.0,153.0,121.0,0.0,24.2,54.11284505549491,2.23606797749979,0.0,60.5,153.0,0.0,76.5,108.18733752154178,1.4142135623730951,76.5,153.0,1522.5605690153366,38.89753278506335,39.142857142857146,24.2,76.5,29993.333333333336,40719.120750166825,96144.0,54.0,1.3576057151644862,10036.0,71695.5,179960.0,44990.0,43226.906852098495,96207.0,179.0,0.960811443700789,41787.0,82941.0,83762.0,83762.0,0.0,83762.0,83762.0,0.0,83762.0,0.0,0,0,0,0,156,72,27.783951989330962,11.113580795732384,0.0,153.0,34.25,63.99274512451727,4095.0714285714284,1.8684013175041538,0.0,90.75,1,2,1,2,5,0,0,0,0.0,39.142857142857146,24.2,76.5,0,0,0,0,0,0,0,0,0,0,64240,335,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-38650-80-6,192.168.0.2,38650,149.154.175.50,80,6,13/11/2021 12:32:28 PM,204303,7,832,5,2,497.0,335.0,497.0,0.0,99.4,222.26515696347911,2.23606797749979,0.0,248.5,335.0,0.0,167.5,236.88077169749343,1.4142135623730951,167.5,335.0,4072.3826864999533,34.26283510276403,118.85714285714286,99.4,167.5,34050.5,43108.863509723844,107747.0,28.0,1.266027327343911,23077.5,64645.0,204303.0,51075.75,44058.829182317895,107775.0,265.0,0.8626173709112034,48131.5,81731.75,96513.0,96513.0,0.0,96513.0,96513.0,0.0,96513.0,0.0,0,0,0,0,156,72,24.47345364483145,9.78938145793258,0.0,497.0,104.0,197.37781030298214,38958.0,1.8978635606055976,0.0,251.25,1,2,1,2,5,0,0,0,0.0,118.85714285714286,99.4,167.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-48632-80-6,192.168.0.2,48632,149.154.175.55,80,6,13/11/2021 12:32:28 PM,205814,7,570,5,2,340.0,230.0,340.0,0.0,68.0,152.0526224699857,2.23606797749979,0.0,170.0,230.0,0.0,115.0,162.63455967290594,1.4142135623730951,115.0,230.0,2769.490899550079,34.01129174886062,81.42857142857143,68.0,115.0,34302.33333333333,43961.30063893318,110452.0,22.0,1.281583390020111,23621.5,63632.25,205814.0,51453.5,45248.087727549326,110484.0,201.0,0.8793976644455542,47564.5,82962.5,95340.0,95340.0,0.0,95340.0,95340.0,0.0,95340.0,0.0,0,0,0,0,156,72,24.29377982061473,9.717511928245893,0.0,340.0,71.25,135.16524278505497,18269.64285714286,1.8970560390884907,0.0,172.5,1,2,1,2,5,0,0,0,0.0,81.42857142857143,68.0,115.0,0,0,0,0,0,0,0,0,0,0,64240,334,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
